invokerItems,invokerSideHero1,invokerSideHero1Steam,invokerSideHero2,invokerSideHero2Steam,invokerSideHero3,invokerSideHero3Steam,invokerSideHero4,invokerSideHero4Steam,invokerSideRadiant,matchId,otherSideHero1,otherSideHero1Steam,otherSideHero2,otherSideHero2Steam,otherSideHero3,otherSideHero3Steam,otherSideHero4,otherSideHero4Steam,otherSideHero5,otherSideHero5Steam
"[20, 15, 76, 13, 72, 16, 237, 39, 39, 29, 38, 46, 25, 265, 38, 64, 65, 46, 46, 20, 16, 34, 46, 257, 36, 23, 38, 20, 13, 72, 73, 205, 46, 206, 60, 23, 21, 22, 46, 257, 108, 38, 46, 1, 47, 48, 257]",1,67760037,51,176902957,23,86790626,60,91967054,False,3293250229,104,133586791,18,119375507,91,115383877,32,160987706,16,67637046
"[20, 15, 76, 16, 237, 16, 237, 39, 20, 14, 74, 75, 28, 12, 88, 265, 212, 46, 29, 46, 42, 25, 46, 38, 46, 64, 65, 46, 60, 23, 46, 46, 21, 46, 22, 108, 47, 48]",59,67635296,38,103162342,50,232836335,14,278682222,False,3302998721,46,116342709,4,288392762,101,384312503,1,144083872,16,215271595
"[20, 15, 76, 16, 44, 20, 15, 76, 77, 46, 29, 20, 42, 46, 34, 36, 265, 46, 46, 25, 64, 65, 46, 60, 23, 21, 46, 22, 108, 47, 48, 1, 118, 9, 58, 119]",26,51203466,14,139132775,41,210066866,1,174021571,True,3312812748,12,135435333,114,179318636,105,92612919,5,114070021,11,423808334
"[29, 44, 16, 20, 15, 76, 29, 46, 46, 2, 50, 34, 28, 46, 19, 10, 67, 28, 46, 19, 46, 10, 67, 97, 98, 46, 3, 46, 2, 148, 149, 245, 250]",46,150748346,25,120167474,40,401949163,6,343971766,False,3305013972,21,46446445,108,51277423,1,40188112,114,112857394,86,40710234
"[20, 15, 76, 237, 16, 39, 29, 25, 38, 46, 240, 46, 64, 38, 65, 46, 38, 23, 56, 101, 102, 46, 60, 23, 21, 46, 46, 22, 108, 46, 47, 48, 61, 59, 60, 129, 38, 58, 235]",71,301995167,68,91391365,7,87793491,81,7932121,True,3321946848,84,95003435,23,175752790,106,137855976,8,97771807,53,201695405
"[20, 15, 76, 16, 39, 20, 34, 29, 16, 29, 38, 36, 265, 25, 64, 38, 65, 46, 60, 23, 21, 22, 108, 46, 1, 40, 46, 47, 48, 58, 61, 59, 60, 129, 235, 24, 56, 57, 122, 69, 123]",9,113482277,18,408967499,60,316116397,27,412897800,True,3301737194,7,154638108,64,62550783,79,138940127,12,78171813,25,108800937
"[20, 15, 76, 38, 20, 15, 77, 76, 38, 16, 16, 39, 20, 15, 76, 77, 29, 25, 265, 38, 64, 38, 65, 60, 23, 21, 22, 108, 46, 1, 46, 46, 47, 48, 24, 56, 57, 69, 122, 123, 9, 118, 58, 119]",14,316807118,112,377206224,63,184899543,4,204735259,True,3307127540,31,91741318,99,171029316,113,154225995,75,347624496,56,112933923
"[20, 15, 76, 16, 39, 29, 38, 20, 34, 36, 265, 25, 39, 46, 46, 64, 65, 46, 38, 46, 60, 46, 23, 21, 46, 22, 46, 108, 46, 47, 48, 24, 56, 57, 69, 122, 123, 9, 9, 58, 118, 119, 61]",67,97697362,87,79115743,71,93166132,76,91986722,True,3299189493,21,108408990,51,106795536,85,117330518,93,176961039,13,233887555
"[20, 15, 76, 16, 39, 29, 20, 15, 76, 77, 25, 46, 64, 265, 38, 65, 60, 46, 23, 46, 21, 22, 108, 46, 23, 56, 101, 102, 47, 48, 24, 56, 57, 122, 69, 123, 1]",54,162102598,5,283018316,112,86345909,102,89007109,True,3301614346,51,102207586,11,102249005,14,58895646,86,180327879,36,63337824
"[20, 15, 76, 16, 39, 29, 20, 34, 36, 265, 38, 25, 46, 64, 65, 38, 23, 46, 60, 21, 22, 38, 108, 47, 244, 48, 23, 99, 57, 100, 122, 24, 56, 57, 69, 123, 21, 8, 115, 116]",75,124513055,70,275789400,100,148816437,7,162337237,True,3307447072,25,107911661,32,102797042,86,133144133,44,209034739,29,86863907
